0:0:0:0:0:0:0:1 - - [19/Apr/2026:12:54:23 +0100] "GET /ClientServerCW/api/v1/ HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [19/Apr/2026:12:54:26 +0100] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2026:12:54:27 +0100] "GET /ClientServerCW/api/v1/rooms HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Apr/2026:12:54:33 +0100] "GET /ClientServerCW/api/v1/room HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [19/Apr/2026:12:54:36 +0100] "GET /ClientServerCW/api/v1/rooms HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Apr/2026:18:53:27 +0100] "GET /ClientServerCW/api/v1/rooms HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Apr/2026:18:53:30 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [19/Apr/2026:18:53:45 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Shar [19/Apr/2026:18:53:45 +0100] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Apr/2026:18:53:45 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Shar [19/Apr/2026:18:53:45 +0100] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - Shar [19/Apr/2026:18:53:45 +0100] "GET /manager/text/list HTTP/1.1" 200 298
127.0.0.1 - Shar [19/Apr/2026:18:53:46 +0100] "GET /manager/text/undeploy?path=/ClientServerCW HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [19/Apr/2026:18:54:07 +0100] "GET /ClientServerCW/api/v1/rooms HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [19/Apr/2026:18:54:11 +0100] "GET /ClientServerCW/api/v1/room HTTP/1.1" 404 790
127.0.0.1 - - [19/Apr/2026:19:13:58 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Shar [19/Apr/2026:19:13:58 +0100] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Apr/2026:19:13:58 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Shar [19/Apr/2026:19:13:58 +0100] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - Shar [19/Apr/2026:19:13:58 +0100] "GET /manager/text/list HTTP/1.1" 200 202
127.0.0.1 - - [19/Apr/2026:19:14:26 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Shar [19/Apr/2026:19:14:26 +0100] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Apr/2026:19:14:26 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Shar [19/Apr/2026:19:14:26 +0100] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Apr/2026:19:14:26 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Shar [19/Apr/2026:19:14:26 +0100] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Apr/2026:19:14:26 +0100] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - Shar [19/Apr/2026:19:14:26 +0100] "GET /manager/text/list HTTP/1.1" 200 202
127.0.0.1 - Shar [19/Apr/2026:19:14:26 +0100] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - Shar [19/Apr/2026:19:14:26 +0100] "GET /manager/text/list HTTP/1.1" 200 202
127.0.0.1 - Shar [19/Apr/2026:19:14:31 +0100] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2Fmskha%2FAppData%2FLocal%2FTemp%2Fcontext1930413719438214327.xml&path=/ClientServerCW HTTP/1.1" 200 72
127.0.0.1 - Shar [19/Apr/2026:19:14:31 +0100] "GET /manager/text/start?path=/ClientServerCW HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [19/Apr/2026:19:14:31 +0100] "GET /ClientServerCW HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2026:19:14:31 +0100] "GET /ClientServerCW/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2026:19:14:46 +0100] "GET /ClientServerCW/api/v1/rooms HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [19/Apr/2026:19:15:14 +0100] "GET /ClientServerCW/ HTTP/1.1" 200 227
